Training file read
Movie User Rating Prediction
8 573364  1.0 3.088410711927952
8 157806  4.0 4.390904897254334
8 1939221  3.0 3.4719423242091207
8 964306  3.0 3.6216625524039943
8 903378  3.0 3.4297985708300582
8 517335  1.0 2.063329002312806
8 2406002  3.0 2.4084619294498575
8 112790  3.0 3.166367546405169
8 2051123  4.0 3.2122991491336643
8 1297899  4.0 3.614529511482038
28 991725  3.0 3.5050520732350625
28 2628220  4.0 3.911509142201229
28 946314  4.0 3.1964909889003663
28 2370740  4.0 4.081335579219742
28 1100912  4.0 3.4661960344628056
28 603277  3.0 2.970660387558905
28 1060605  3.0 3.3708608392025248
28 318939  3.0 3.7004649910377974
28 769887  4.0 3.924633872190399
28 2280025  3.0 3.9594303598266474
28 1041757  4.0 3.9930553165490132
28 1554601  4.0 3.9888427887920175
28 1686741  4.0 3.869325825325371
28 2482204  2.0 3.7019203611933453
28 87184  1.0 3.288123712744158
28 2288531  3.0 3.385592697844644
28 2059898  3.0 3.6458692251124574
28 603908  5.0 3.6491502693026447
28 834267  3.0 3.380422561600724
28 2041009  1.0 3.960347608033909
28 318032  5.0 4.006847065983352
28 1705674  4.0 4.06944558266044
28 1645535  4.0 4.243129984658482
28 2385364  3.0 4.046433811769606
28 1890303  5.0 4.011365994399774
28 2487958  3.0 4.025890220126845
28 538214  3.0 3.4048755643515882
28 473516  4.0 3.1592577032130706
28 2354829  3.0 3.1716200383880198
28 1681133  4.0 4.30095669755267
28 820785  3.0 3.4172445261826723
28 375726  3.0 3.4327536301505504
28 318449  5.0 4.067191180367913
28 1422763  4.0 4.333180588686926
28 2039201  3.0 3.5156862579182064
28 686510  4.0 3.739190882385412
28 1242044  5.0 3.4543856904410104
28 1388216  4.0 3.5309082655691446
28 2566515  3.0 2.8228619491394378
28 2535930  4.0 3.6141860742566454
28 1375880  4.0 3.8182680955769808
28 1553047  3.0 3.2145750639620445
28 2504747  4.0 3.4329014107889764
28 2143870  3.0 3.0483502807495064
28 940264  3.0 3.7890591191528653
28 281729  4.0 3.6433029536928045
28 1449107  4.0 3.6893485021478094
28 303821  3.0 4.063397538541904
28 1014928  5.0 3.970195747650321
28 437485  4.0 3.4881839701165522
28 1571932  1.0 3.5788414903051633
28 2046079  3.0 3.3812119257930586
28 830282  5.0 3.9854580389769483
28 2524846  3.0 3.2396445198885178
28 2554750  5.0 4.828017091340567
28 1563429  3.0 3.654793496869694
28 1518963  5.0 3.617463746466064
28 2239625  2.0 3.8184013613062286
28 1496080  4.0 3.0798376496492854
28 2592938  4.0 3.956508206769327
28 2398509  5.0 3.441852558096048
28 2470054  5.0 3.6286603086041596
28 393730  3.0 3.5806500708771822
28 1941368  4.0 3.7873885341393985
28 1624667  4.0 3.8528381298663423
28 1926431  4.0 3.4953428912432067
28 1000710  4.0 4.157478954758651
28 662270  4.0 4.114895600420729
28 1395849  1.0 2.58040209160196
28 2484944  4.0 3.035387148157694
28 1789382  4.0 3.816522088124443
28 291682  5.0 4.123963027415032
28 441579  3.0 3.464819764794998
28 1367949  2.0 3.5605604391219328
28 726543  5.0 3.8841393218530684
28 1302842  4.0 3.115042283603827
28 2368618  4.0 3.8103559509567946
28 2426587  3.0 3.7449344797582453
28 1800320  2.0 3.424109579826937
28 954289  2.0 3.5601257369354795
28 2135123  3.0 3.3363431202403935
28 2358799  3.0 4.004621120191919
28 1410683  5.0 3.0672228464068594
28 2297858  3.0 4.218592498086425
28 768309  3.0 3.1847248635451266
28 1209343  2.0 3.4320115796718103
28 290700  5.0 3.739574812925275
28 2597191  4.0 4.00534173885311
28 2458704  3.0 3.4332293459678573
28 250509  5.0 3.086725898252412
28 852524  3.0 2.9949746426330086
28 525679  3.0 3.208447980574783
28 2584528  3.0 4.0997616948951485
28 287224  4.0 3.9705659742761448
28 1524964  4.0 3.0300966276548977
28 1610877  4.0 4.021451959742484
28 2106971  4.0 3.7992980419202387
28 1026246  4.0 4.225874169479426
28 1565489  3.0 3.1647438866831727
28 2091736  5.0 4.343018883613288
28 75384  4.0 3.5536981326961175
28 152807  5.0 4.040454509209814
28 633303  5.0 4.776404956898189
28 439968  3.0 3.749365046788107
28 1608960  3.0 3.975742867813791
28 2218826  5.0 3.6547504261675994
28 2095640  3.0 2.874446552883116
28 1234163  4.0 3.504925607422281
28 520803  4.0 3.955597503333247
28 2015904  2.0 3.7346348491754693
28 1750778  5.0 3.750574666286256
28 1581834  5.0 3.850369006348966
28 2622076  1.0 3.062802368200617
28 276272  4.0 3.7074840053973634
28 2640999  1.0 0.9318593428073971
28 2147894  1.0 2.539491771958531
28 1796481  5.0 4.344448834402798
28 527953  4.0 3.6829864421029885
28 1601820  4.0 4.337701158374951
28 1573228  4.0 2.814731000456368
28 2173717  4.0 3.528232068466174
28 1018210  4.0 4.066375613515685
28 62655  3.0 2.882146020832341
28 854318  2.0 3.605319460008614
28 2590509  4.0 3.874230171439476
28 1318386  2.0 3.236330488099464
28 1561863  5.0 3.848429477632285
28 1445724  4.0 3.8904550053789158
28 2570444  4.0 3.112841534924468
28 2532407  3.0 3.319472639445565
28 1028078  4.0 3.4938026853245514
28 894519  3.0 3.291378266786529
28 1062246  3.0 3.2043966313847756
28 2423718  4.0 3.846486892269381
28 1572525  4.0 3.8848963527956646
28 361886  4.0 3.156616280819962
28 2286380  5.0 4.3149605678395195
28 1957786  5.0 3.85014126703092
28 92116  5.0 3.7065185993543412
28 2070031  4.0 3.011739712250008
28 1103863  4.0 4.27975691586499
28 2420257  3.0 3.476710251116993
28 2101762  5.0 3.7826431284457804
28 2374782  5.0 4.1351867667581885
28 874883  3.0 3.797733631424833
28 1258560  4.0 3.1557643113593277
28 804974  5.0 3.9999346589371503
28 1626928  3.0 3.3448464720234283
28 560086  1.0 2.9185555669098435
28 1473192  4.0 3.389861982855693
28 1354427  3.0 3.4432933790477396
28 778246  4.0 4.0210845913630395
28 138232  3.0 3.9020821458950703
28 2229986  3.0 3.7626738745488684
28 1811688  3.0 3.7705030219832714
28 1217553  1.0 3.7219069361310315
28 2297136  5.0 2.033426425616899
28 436156  4.0 3.340303576482046
28 1279283  5.0 3.8205830885882
28 220334  5.0 3.478502807424045
28 1968862  3.0 3.856905092924838
28 524619  3.0 3.9987114546667133
28 1938729  3.0 3.5416515020054455
28 2554058  5.0 4.657342044918458
28 1551671  4.0 3.9534607241092674
28 241395  4.0 3.7068319755931034
28 2152856  4.0 3.777935548311002
28 1756369  3.0 2.895036721948694
28 1575539  3.0 3.345676098635192
28 2087190  3.0 3.2901527871968366
28 2086206  5.0 4.208933213299038
28 452001  5.0 4.528492613943717
28 1874342  4.0 3.065731437679278
28 1514852  3.0 2.750953520128754
28 1535722  5.0 3.83481944219942
28 390371  4.0 3.504306527900421
28 1816622  5.0 4.091451211148605
28 1015930  2.0 3.6946244625875133
28 1704223  2.0 2.92297756190626
28 1015237  4.0 3.555588002168457
28 1134864  4.0 3.5536961031520606
28 282447  4.0 4.260129163005577
28 2586558  4.0 3.764004349102335
28 773432  5.0 4.537421642283178
28 384255  3.0 3.76547669873554
28 789239  4.0 4.067536319161852
28 2334279  5.0 3.8288201672680575
28 148707  3.0 3.5347291115837693
28 2015182  5.0 3.6087617103082423
28 2047862  3.0 3.6658926244845675
28 549262  3.0 3.704317909975429
28 852275  4.0 3.3104027435027454
28 1680398  3.0 3.5881379795440416
28 948541  3.0 3.1865423347910617
28 2617292  4.0 4.664743303794683
28 1665250  5.0 3.749832771136502
28 1452283  4.0 3.6973818073520004
28 660279  5.0 4.27264202129004
28 1317671  3.0 3.193431148476531
28 2411618  4.0 2.9458993639411135
28 648874  5.0 3.890256266885837
28 577774  1.0 3.3659146054095532
28 721036  4.0 3.5044898093155523
28 214501  4.0 3.9387652485423303
28 2086901  3.0 3.6797488536385625
28 2254121  3.0 3.6424247919261745
28 1072294  4.0 3.6868011915806704
28 1787038  3.0 4.099992641255224
28 650517  5.0 3.9113000916869978
28 38284  3.0 3.647152445971052
28 1855590  4.0 4.026196452338168
28 1740380  5.0 4.283858211196361
28 2363228  5.0 3.679705638873756
28 1497750  1.0 3.621491038137408
28 11462  4.0 3.604991039575535
28 1041872  3.0 4.175216570338527
28 356644  3.0 3.4616230287480234
28 2445266  3.0 3.7444271488958516
28 1983362  3.0 3.1386895489393205
28 591184  4.0 4.318709071420872
28 1983891  5.0 4.085708345253043
28 1567970  5.0 3.6996693981560203
28 2421428  3.0 3.736134858309369
28 633151  5.0 3.7164992852091427
28 1553965  4.0 3.271725377623458
28 1720068  1.0 3.186330159590116
28 551388  5.0 4.054805931290098
28 417746  5.0 4.0303457966850775
28 1054695  3.0 3.5018390737239944
28 1543837  3.0 3.3525400226195465
28 1530363  4.0 3.7877624115627375
28 584839  4.0 3.6986610103265036
28 498716  5.0 4.696340031542615
28 2051579  5.0 4.801153633291319
28 1006470  5.0 3.262857412931725
28 2345117  4.0 3.167293231809641
28 633156  3.0 3.620371616911086
28 161313  4.0 3.6936543044236854
28 1681964  3.0 3.456401630753202
28 1939632  3.0 3.587984286703122
28 2147527  3.0 2.1731816646264637
28 998046  5.0 4.579675682503655
28 1886585  2.0 3.177899771004908
28 245519  4.0 4.094669959215727
28 1192843  2.0 2.9705005755250338
28 1700919  2.0 3.2676323286743054
28 618778  3.0 3.473793437802717
28 1253043  5.0 3.853382367918859
28 2375058  4.0 4.6876235991635955
28 1536121  4.0 4.074911527695933
28 70050  4.0 3.871271002604163
28 1896177  3.0 3.9227427175925147
28 355078  4.0 2.846582437233272
28 2126579  3.0 3.488999906546639
28 1200002  4.0 3.7947209368397696
28 206826  3.0 3.6271008769316784
28 753901  3.0 3.349984403739702
28 674927  3.0 2.9534688956029838
28 1744093  4.0 3.4421490058776523
28 1770828  4.0 2.432808948401973
28 295708  3.0 3.4754016157287753
28 721406  4.0 3.407517494938372
28 2632019  2.0 3.4226347292467363
28 1571424  3.0 3.2150022761021764
28 1745577  5.0 5.0
28 780390  3.0 3.5372849967206927
28 2493476  5.0 4.139674771982955
28 1772538  3.0 3.523026507058872
28 951697  4.0 3.95147927550635
28 2087615  4.0 3.3853309800976628
28 2191367  4.0 3.1355619325507287
28 2524183  3.0 3.6241316418478253
28 12812  4.0 3.7938608228331874
28 2598477  5.0 3.80322255567079
28 1370506  4.0 3.3528933430565604
28 287114  3.0 3.476846429191694
28 1560395  4.0 3.079684175508515
28 2483294  5.0 4.234446192384763
28 2343970  2.0 3.723723083556973
28 2021291  4.0 4.2020354753084
28 705534  4.0 3.5696656632950097
28 2140569  3.0 3.6972920871519355
28 1747369  3.0 3.6935359522922173
28 1926272  3.0 3.700656116801641
28 1918  3.0 3.074673262362667
28 1963686  4.0 3.819244638463422
28 798104  5.0 3.9080305990843542
28 1498221  4.0 3.699869102412011
28 747667  4.0 3.8390073070532575
28 1929765  3.0 3.361069026123228
28 1745463  3.0 3.500973002359359
28 1518104  4.0 3.819857187704294
28 1007172  4.0 3.842104490535312
28 39551  4.0 3.427776299645726
28 2252217  4.0 3.936735839198863
28 2262335  3.0 3.0173813924621427
28 336578  5.0 5.0
28 828045  5.0 4.314945845777953
28 2138793  5.0 3.0303200028044905
28 1213065  4.0 3.910612268406689
28 472734  5.0 3.9715506411336805
28 1889712  4.0 3.801356765801807
28 6766  4.0 3.7472553091791676
28 1227241  3.0 3.074720577508522
28 2057611  5.0 4.64855429568775
28 2169063  5.0 4.375451962454065
28 1105686  5.0 4.340212062661396
28 1584985  5.0 4.457379456994641
28 1088073  3.0 3.783252760858437
28 2427026  4.0 3.075525217072708
28 446086  3.0 3.3738618940771716
28 1716427  5.0 3.4639486512612763
28 601317  3.0 3.7435028365601695
28 1562856  1.0 3.532217851939571
28 1474057  4.0 3.2014806308336103
28 625957  5.0 4.346207640369257
28 1743850  4.0 3.531703199816381
28 291135  3.0 3.4639795997888956
28 1880119  4.0 4.122000637653764
28 2445183  1.0 3.2997653332820485
28 753003  4.0 3.3866088359774986
28 2126686  5.0 3.769721003519497
28 887393  4.0 4.1430128000836595
28 505109  5.0 3.434924146839488
28 2179596  5.0 3.704404377315836
28 2458826  5.0 3.8521328164102453
28 726342  4.0 4.270272474435144
28 37547  3.0 3.8830015924912806
28 1488400  3.0 3.56507443215822
28 2143735  3.0 3.4687870415762423
28 2552767  5.0 3.200285826406315
28 1782115  4.0 3.997726763415068
28 485601  3.0 3.9329672987889035
28 1281478  5.0 4.04763291597307
28 78573  1.0 2.532094498182241
28 267231  3.0 3.676581414153635
28 295936  2.0 3.564981050534278
28 1046721  2.0 2.9571310394868897
28 1249490  5.0 4.871893859302386
28 1302590  4.0 3.0266519046025393
28 300720  4.0 3.013135536407438
28 1636243  4.0 3.5323872040500985
28 311122  4.0 3.8288715092619956
28 1228654  4.0 3.573860231204102
28 2160087  4.0 3.779436077448441
28 691272  3.0 3.9826822896594902
28 670464  5.0 4.51787062393968
28 1290593  4.0 4.204173886168861
28 2051584  5.0 3.7245270627275575
28 1074260  5.0 4.679518728601844
28 1327792  3.0 3.9040356229264486
28 459468  5.0 4.853934731448459
28 2493423  4.0 3.0498986003858892
28 2597934  1.0 3.3932771083302478
28 714802  5.0 4.601858180962751
28 1658790  5.0 3.4488228261151237
28 27753  4.0 3.780423577310547
28 982594  4.0 3.723496502332972
28 2208977  4.0 3.7059181566380723
28 1811676  1.0 2.9927584972549206
28 279477  5.0 4.0762030183620235
28 2063973  5.0 4.347188068884831
28 1225759  2.0 3.905719935732126
28 1169809  3.0 4.43949623393971
28 1646639  4.0 3.7669239789663638
28 1562395  3.0 4.185606780643574
28 319268  3.0 3.579157710608426
28 1629456  5.0 4.625868961803245
28 590515  5.0 4.450491014333853
28 1739532  4.0 3.47911906953464
28 993423  3.0 3.9835402567868488
28 875719  5.0 4.207709383278717
28 2507981  4.0 4.085775202272842
28 771125  4.0 3.6862923945461477
28 2522831  3.0 3.48422065725152
43 1515355  4.0 3.266615359628231
48 264160  5.0 4.151414562391084
48 2259279  5.0 4.631164127515281
48 686510  3.0 3.6792130997342904
48 1882485  5.0 4.605816764649575
48 2062763  5.0 3.75627548704792
48 526568  1.0 2.840273855191411
48 2023883  4.0 4.2511831230633526
48 310187  1.0 3.1299487993911685
48 659029  4.0 3.4347333033676035
48 1660196  5.0 5.076540064321162
48 1737149  5.0 4.139670168265333
48 424620  4.0 3.795361584130104
48 554192  2.0 2.790649097437727
48 2514777  3.0 3.038225193267945
48 2496629  5.0 3.58707669532339
48 206272  5.0 4.219117720100469
48 1629440  4.0 4.506415923312658
48 31259  4.0 4.494759760286398
48 71594  3.0 2.780951869072307
48 2350500  3.0 2.959145804469828
48 669659  4.0 3.591765503615466
48 1857889  3.0 2.8113808811439194
48 654316  1.0 3.5218238655542162
48 386947  3.0 3.2174837878973483
48 2591450  5.0 4.170398451838669
48 520371  3.0 3.390723397878696
48 2248596  5.0 3.6705934900516257
48 563942  3.0 3.5045254674709923
48 1078644  4.0 4.609656804142816
48 1093643  3.0 3.272196729699234
48 1986816  4.0 4.38245146756225
48 2186920  5.0 4.167147913837056
48 2458372  3.0 4.2363393349344705
48 2341845  5.0 4.343345494001115
48 1015473  4.0 4.21157894394108
48 964622  4.0 4.795145327552216
48 1462208  3.0 3.8795885092452367
48 27061  5.0 4.799614717168612
48 1343136  4.0 3.881485973733052
48 353369  3.0 3.6773746527965803
48 2489377  5.0 4.738978430312982
48 1021435  2.0 3.5714311157455736
48 1639792  1.0 1.446141975823363
48 2502098  4.0 3.6983350135735042
48 2355940  3.0 3.950210701262386
48 376153  4.0 3.829633570087576
48 1074260  5.0 4.52671759362237
48 1991613  3.0 4.031426395953253
48 2406002  1.0 2.8852222371965706
48 1789838  3.0 3.834541507189935
48 1125075  3.0 3.3096137990103554
48 1640555  5.0 3.596181026478656
48 520675  3.0 3.413000665504951
61 1945693  4.0 4.1742219047109295
61 1640271  4.0 2.411261395331954
61 38946  4.0 2.94254545610442
64 2043109  2.0 2.147245034353366
64 2519397  3.0 2.451251996559316
64 752642  1.0 1.2732211447383892
66 1120581  2.0 2.19814306922475
66 1494197  4.0 4.336533651883468
92 1935793  1.0 1.7723160711249832
96 401047  2.0 2.491897416964365
96 411705  4.0 3.661156614083823
96 2156497  3.0 2.978438922666554
96 738964  4.0 3.5226169434020655
96 682963  3.0 3.245807410931734
96 382773  4.0 3.3482236925943987
96 2118461  4.0 4.057989944807206
111 638344  2.0 3.595978534627948
111 1332360  3.0 2.4798790475431094
111 1943087  4.0 3.6267166439988534
111 2209044  3.0 3.5758316310624285
111 180200  3.0 3.526981531304952
111 528423  5.0 3.06506794805276
111 771805  4.0 3.551217394520613
111 2491997  4.0 3.603747104955229
111 1468138  1.0 3.2408813613172134
111 771888  4.0 2.7638148266540714
111 360412  2.0 4.023697654745666
111 1675105  5.0 2.943306876737718
111 2602249  3.0 2.5334391618816956
111 1902434  3.0 3.2244143260146663
111 1521508  2.0 3.114238293734872
111 473516  3.0 2.7120853219724403
111 1030669  1.0 4.097641778767779
111 1734512  3.0 3.029863964344526
111 214955  3.0 3.395775770857183
111 385977  4.0 3.0374043195105567
111 1702892  3.0 2.940809524906444
111 133119  3.0 3.3105963441867194
111 1870572  5.0 4.8488424858306365
111 1750785  2.0 2.8519579848627337
111 1123540  3.0 2.863676413367489
111 247999  2.0 3.220672839477089
111 2010893  2.0 3.073981085999816
111 78584  2.0 4.155675239726269
111 1977612  4.0 3.3513206638995174
111 962564  4.0 3.1534871410203196
111 1072906  1.0 2.4188643607785347
111 727242  1.0 0.7406263558526027
111 1621546  4.0 2.876813708183927
111 921502  3.0 3.3240029589360036
111 306350  1.0 2.9121473416653867
111 1579616  4.0 4.117136869646818
111 2183370  2.0 3.0830508266488175
111 523130  3.0 2.7665758208717737
111 488116  3.0 3.017057388055285
111 1200886  3.0 3.28561872743157
111 1121380  2.0 3.1623879160092936
111 1291817  3.0 2.6250327627717533
111 991670  4.0 3.9271000685987065
111 920932  3.0 3.2080896450798115
111 2062350  3.0 3.26525420311017
111 371785  3.0 3.718519092691959
111 892994  4.0 3.7892683962422367
111 1702570  1.0 3.3315975923600716
111 1062876  2.0 3.0358749466189194
111 2098310  3.0 3.043133662254074
111 2618990  4.0 3.6632903825135976
111 2139610  5.0 4.0794464844663665
111 1532984  2.0 2.765763423381122
111 1562484  2.0 2.7151123590761714
111 1007577  3.0 2.432448071864112
111 1806991  2.0 3.718221417481713
111 1090765  3.0 3.237736942081092
111 1163832  2.0 2.8407024649308488
111 2613456  5.0 3.1876037102297325
111 808604  4.0 2.8876210194267378
111 2138216  4.0 3.6525947352369776
111 135973  4.0 3.2921512464137264
111 2401140  2.0 3.0251796839488763
111 1908434  3.0 3.012986135001926
111 751308  3.0 3.3617639962013537
111 1670302  4.0 3.130223689027535
111 1386805  2.0 2.386838025589
111 2491645  1.0 2.5982058871249487
111 2132231  3.0 2.988271947768964
111 1551109  1.0 4.090762132568999
111 2629599  3.0 3.6657472600344576
111 1898310  3.0 2.858362887670539
111 1696279  2.0 2.638673478055204
111 424542  3.0 4.116074949804577
111 2456767  4.0 4.409011624394511
111 1951741  3.0 2.180548030351318
111 481813  3.0 3.5752508943502077
111 1652105  2.0 2.5061769311082447
111 1022653  2.0 2.7696139248950153
111 2024808  3.0 2.277009033147514
111 1902117  5.0 4.449822198901632
111 2627800  2.0 2.5442914372009797
111 1824459  3.0 3.562915690270232
111 238647  4.0 3.5427253202499673
111 2030198  3.0 2.9671162955595074
111 1167549  1.0 3.0320286167936668
111 1273501  2.0 3.6281353146543283
111 2124931  1.0 2.1775947917088496
111 545306  2.0 2.8937159167699975
111 838669  3.0 2.9371194292954685
111 682560  4.0 3.1537724297267884
111 1943954  5.0 4.185606458188576
111 735278  4.0 3.0671676032060766
111 206243  1.0 2.9209655309957308
111 721369  3.0 2.7371436925071624
111 2467365  2.0 2.602222542286559
111 1724939  3.0 3.5662616367018627
111 769162  2.0 2.624020572684242
111 1291455  2.0 2.5059853398050933
111 302304  4.0 3.1657970061056084
111 1693237  3.0 2.519079820325918
111 1462360  2.0 3.0372897114130444
111 1102418  3.0 4.281143734166804
111 2245965  4.0 3.031351193765074
111 2417531  2.0 2.8166343131365585
111 2134641  3.0 2.915811632276906
111 263743  5.0 2.595261676307191
111 674160  1.0 3.081982907541716
111 1664010  5.0 3.933442449175824
111 970628  2.0 2.721321970649401
111 776905  4.0 3.6610479036674968
111 1233953  4.0 3.7931035959515067
111 1883050  4.0 3.9120808155895337
111 681642  3.0 3.2909281790799296
111 1730558  1.0 1.7623076158644446
111 572481  1.0 1.0530314990648664
111 329958  1.0 1.9151953746154216
111 1417273  3.0 2.8606180053173222
111 2358990  3.0 2.838940277605153
111 1138840  2.0 2.806557415308372
111 2006505  2.0 2.9286897878907356
111 2241438  4.0 3.5856456675441786
111 46231  3.0 3.2385509784833517
111 2256731  3.0 2.228905362418042
111 2087190  3.0 2.8025740281769593
111 163951  3.0 3.0206618841332094
111 802876  4.0 2.92886018127677
111 1922494  4.0 3.6975352539257926
111 2389860  4.0 4.1129573368785595
111 964513  3.0 3.232710347997008
111 1974864  5.0 3.87792907598717
111 1719565  3.0 2.9836744529220107
111 2454811  2.0 3.203608631331356
111 951494  4.0 3.7696020583085126
111 1744075  3.0 3.023759369292791
111 2415838  3.0 2.682889620620065
111 892694  4.0 3.5951710609964844
111 18830  2.0 3.444338830317011
111 1223933  4.0 3.17064071311885
111 2113709  1.0 2.4674988069034223
111 395176  3.0 3.06737944559508
111 1266708  3.0 2.790120724572471
111 795714  3.0 2.9450091680853214
111 870065  3.0 2.9779218306613533
111 1392742  4.0 3.41198919864441
111 2517938  3.0 3.1170799673648473
111 608234  4.0 3.2868015658361265
111 165545  3.0 3.121244184637209
111 1203374  4.0 2.8993279906507494
111 7949  3.0 2.7825903057593138
111 1984819  2.0 3.694266009062832
111 1526116  2.0 2.897310469221208
111 1902609  3.0 2.298674447584487
111 1180237  4.0 3.4346211942624723
111 2638572  3.0 2.7553460334409094
111 1549954  3.0 2.7358475609879993
111 564225  2.0 2.4819191774888756
111 306658  1.0 2.6961086849934555
111 1788180  2.0 2.12037936262051
111 2556571  3.0 3.0305469936700185
111 1122390  5.0 4.50109426892937
111 1964531  3.0 2.586657776336808
111 357087  3.0 2.8646439880045844
111 718685  4.0 2.8693020718029723
111 1513550  2.0 2.584086000933519
111 808382  3.0 2.9597845249190975
111 2125582  3.0 3.5111362772032177
111 373013  3.0 3.123411832203663
111 530238  3.0 3.2603049522038763
111 650227  1.0 2.9938403557352338
111 337915  2.0 3.230421775581059
111 1104245  3.0 2.8885688647570067
111 2432433  4.0 4.366425670726088
111 1963736  2.0 2.5790648571442314
111 2182671  4.0 3.4963659704430174
111 2642403  5.0 4.0142177615603964
111 2420259  2.0 2.4809618291281827
111 545639  2.0 2.720371374638998
111 578869  3.0 3.1676398242018684
111 1338011  3.0 3.0575128635399
111 1627955  3.0 1.631107583931442
111 1556168  2.0 3.1933748223425154
111 416560  1.0 2.3232619721749908
111 727272  3.0 2.8592300760312512
111 1011250  3.0 2.3817820783689716
111 1912542  1.0 1.2866527314296146
111 2229453  3.0 3.3249842583712437
111 589563  1.0 1.9460404455534126
111 803298  2.0 3.5197938838872393
111 1826465  3.0 2.992975802429624
111 338723  3.0 3.5006822645768585
111 785917  4.0 4.296066459740843
111 440905  3.0 3.3524916009572956
111 847349  3.0 2.537444186402878
111 36478  2.0 2.9086118919012107
111 2029744  3.0 2.814434324230023
111 1810022  4.0 3.7301132794531857
111 2554860  4.0 3.089959481304418
111 780390  3.0 2.8313908871093534
111 990918  3.0 2.87035431879568
111 117060  4.0 2.812771263635473
111 2400911  2.0 2.5755599514489953
111 766629  1.0 2.9575869043465115
111 2481504  3.0 2.772536377135358
111 2264796  3.0 3.1030062258318947
111 1438214  3.0 3.0603167476139994
111 912661  4.0 3.185378008391944
111 1384373  2.0 3.2641673089060874
111 2502816  2.0 2.75994965835217
111 1569593  2.0 2.3153730934812944
111 1325077  3.0 3.6971310904858274
111 2117432  2.0 2.4551990195376914
111 1899399  2.0 2.4945868935987963
111 1729518  5.0 4.384948778397916
111 2441503  4.0 3.1505467007051857
111 1933592  5.0 3.961553228952427
111 1140580  3.0 3.3805730789214614
111 2414529  3.0 3.049413644728942
111 828045  3.0 3.614788738691839
111 767891  2.0 3.496189993496146
111 350145  3.0 3.045876604033079
111 721577  3.0 3.0882756129180406
111 9861  3.0 3.199541699654096
111 94321  5.0 3.673024867396958
111 2635599  2.0 2.7062422164233517
111 1698802  2.0 3.5824253303138645
111 1537969  1.0 3.4433159069685395
111 1105686  5.0 3.8761959795475307
111 587372  2.0 3.6948770107759707
